 ;Area;Mean;StdDev;Min;Max;X;Y;XM;YM;Major;Minor;Angle;%Area;Type
83;36;706.222;92.347;516;929;476.333;83.444;476.389;83.429;7.473;6.134;128.932;100;B
84;6;721.333;41.360;686;799;108.000;82.500;108.010;82.489;3.385;2.257;90.000;100;B
85;281;701.669;73.834;554;939;85.838;93.913;85.737;93.882;38.680;9.250;157.352;100;B
86;161;741.888;86.035;571;1069;190.109;93.922;190.071;93.913;22.015;9.312;83.608;100;B
87;37;684.297;60.448;575;820;491.770;87.824;491.784;87.829;7.900;5.963;68.229;100;B
88;4;743.750;35.697;691;769;377.000;88.000;377.009;88.014;2.257;2.257;0;100;A
89;39;692.385;64.620;593;841;454.141;90.115;454.107;90.115;9.569;5.189;8.590;100;A
90;7;708.143;62.411;629;820;132.643;90.786;132.673;90.813;3.507;2.542;30.473;100;C
91;46;700.130;88.150;553;962;27.652;93.674;27.648;93.687;8.376;6.993;156.779;100;C
92;7;684.857;40.507;634;742;468.786;91.500;468.768;91.513;3.086;2.888;90.000;100;C
93;30;749.233;73.357;621;931;178.267;94.367;178.301;94.365;8.299;4.603;18.534;100;C
94;10;709.200;38.381;653;788;321.500;93.300;321.487;93.301;3.966;3.210;90.000;100;C
95;95;722.137;75.812;584;1026;403.700;98.974;403.679;98.988;13.145;9.202;157.658;100;C
96;42;694.595;75.311;548;838;479.810;98.881;479.849;98.841;11.033;4.847;43.009;100;C
97;92;709.380;73.336;561;975;492.370;101.098;492.367;101.134;15.122;7.746;57.642;100;C
98;204;737.044;86.232;555;1145;331.010;103.417;330.936;103.430;29.263;8.876;21.722;100;C
99;3;761.333;62.963;693;817;176.167;99.167;176.197;99.161;2.365;1.615;45.000;100;C
100;16;707.375;69.373;619;890;129.562;101.250;129.527;101.257;5.582;3.649;45.092;100;C
101;106;747.028;108.675;554;1194;154.198;106.292;154.179;106.295;13.373;10.092;19.870;100;A
102;60;737.517;87.544;570;986;430.267;104.950;430.276;104.965;9.532;8.015;33.438;100;A
103;26;765.846;94.740;661;1088;213.000;105.731;212.983;105.677;6.863;4.824;80.381;100;A
104;62;729.565;72.744;603;976;419.323;106.323;419.282;106.270;9.890;7.982;125.923;100;A
105;262;751.317;117.262;577;1344;180.172;118.458;179.936;118.567;33.067;10.088;21.039;100;A
106;4;807.500;63.825;747;890;283.000;108.000;282.986;107.969;2.257;2.257;0;100;A
107;13;718.769;64.869;623;823;119.115;113.115;119.118;113.158;4.380;3.779;135.000;100;A
108;41;720.098;70.289;590;895;132.012;114.402;131.997;114.413;8.083;6.459;40.126;100;A
109;24;758.708;80.163;628;906;428.000;114.000;428.007;114.032;5.528;5.528;0;100;A
110;94;755.755;90.454;557;1075;215.500;118.404;215.518;118.445;13.900;8.611;130.985;100;A
111;31;719.355;61.972;629;886;405.565;116.919;405.529;116.919;9.484;4.162;167.192;100;A
112;117;671.188;62.047;563;875;38.842;121.551;38.784;121.486;16.354;9.109;568;100;A
113;1;587.000;0;587;587;399.500;117.500;399.500;117.500;1.128;1.128;0;100;A
114;352;721.537;80.105;;1090;155.605;133.148;155.622;133.035;27.991;16.011;87.304;100;C
115;102;715.147;81.952;538;960;125.794;125.696;125.742;125.703;17.001;;148.676;100;A
116;101;735.287;87.783;610;1075;424.411;129.530;424.446;129.549;12.714;10.114;29.403;100;A
117;282;733.681;79.556;562;970;195.241;137.759;195.212;137.768;;17.472;9.008;100;A
118;116;761.198;85.665;596;1042;387.655;131.103;387.693;131.160;13.237;11.158;35.962;100;A
119;44;698.068;60.240;588;834;504.932;130.795;504.995;130.809;11.856;4.725;143.350;100;A
120;11;665.091;76.640;562;766;21.864;129.682;21.844;129.655;4.900;2.859;37.875;100;A
121;9;682.889;46.849;615;751;44.833;129.500;44.829;129.487;4.204;2.726;144.217;100;A
122;10;773.500;56.477;677;851;289.500;132.300;289.474;132.326;3.966;3.210;90.000;100;A
123;81;785.778;73.239;646;986;274.623;140.660;274.660;140.622;13.035;7.912;58.094;100;A
124;5;711.200;42.234;667;772;17.900;135.300;17.911;135.299;3.144;2.025;71.565;100;A
125;27;663.444;59.614;560;806;10.796;137.537;10.825;137.503;7.948;4.325;20.938;100;A
126;29;739.138;73.962;567;925;210.293;139.672;210.321;139.659;8.964;4.119;145.859;100;A
127;9;724.778;91.994;604;837;492.833;138.500;492.873;138.526;4.204;2.726;144.217;100;A
128;3;737.333;93.286;671;844;119.833;139.167;119.803;139.185;2.365;1.615;135.000;100;A
129;92;792.804;90.339;626;1042;286.359;143.880;286.328;143.789;14.653;7.994;127.287;100;A
130;97;730.608;73.907;621;1009;455.015;143.758;455.046;143.729;14.023;8.807;166.459;100;A
131;1;769.000;0;769;769;58.500;139.500;58.500;139.500;1.128;1.128;0;100;A
132;41;689.659;57.773;568;805;503.207;143.671;503.243;143.702;8.021;6.509;126.422;100;A
133;7;690.714;67.007;637;808;127.500;141.214;127.469;141.213;3.086;2.888;0;100;A
